degradation,degradation_group,traj_idx,method,ADE,smooth,noisy_ADE,noisy_smooth,delta_ADE_vs_noisy,delta_smooth_vs_noisy,improved_ADE_vs_noisy,improved_smooth_vs_noisy
gaussian_medium,relative_observable,93,noisy_input,0.07992082089185715,0.22813326120376587,0.07992082089185715,0.22813326120376587,0.0,0.0,0,0
gaussian_medium,relative_observable,94,noisy_input,0.06401105225086212,0.30806803703308105,0.06401105225086212,0.30806803703308105,0.0,0.0,0,0
gaussian_medium,relative_observable,95,noisy_input,0.06344695389270782,0.1804322600364685,0.06344695389270782,0.1804322600364685,0.0,0.0,0,0
gaussian_medium,relative_observable,96,noisy_input,0.05727323889732361,0.17227008938789368,0.05727323889732361,0.17227008938789368,0.0,0.0,0,0
gaussian_medium,relative_observable,97,noisy_input,0.05725973844528198,0.1539067029953003,0.05725973844528198,0.1539067029953003,0.0,0.0,0,0
gaussian_medium,relative_observable,98,noisy_input,0.06984086334705353,0.15195311605930328,0.06984086334705353,0.15195311605930328,0.0,0.0,0,0
gaussian_medium,relative_observable,99,noisy_input,0.05965913087129593,0.2174004316329956,0.05965913087129593,0.2174004316329956,0.0,0.0,0,0
gaussian_medium,relative_observable,100,noisy_input,0.061298519372940063,0.559107780456543,0.061298519372940063,0.559107780456543,0.0,0.0,0,0
gaussian_medium,relative_observable,101,noisy_input,0.07044897973537445,0.1754961609840393,0.07044897973537445,0.1754961609840393,0.0,0.0,0,0
gaussian_medium,relative_observable,102,noisy_input,0.05523790046572685,0.16772402822971344,0.05523790046572685,0.16772402822971344,0.0,0.0,0,0
gaussian_medium,relative_observable,103,noisy_input,0.05866476893424988,0.16977395117282867,0.05866476893424988,0.16977395117282867,0.0,0.0,0,0
gaussian_medium,relative_observable,104,noisy_input,0.06275846064090729,0.14963671565055847,0.06275846064090729,0.14963671565055847,0.0,0.0,0,0
